"dataset_id","dataset_name","workflow","iteration","prec","rec","F1"
"DS01","Bike Sharing Daily - Temperature","mc.lm",1,1e-05,0.475894272692436,1.99995797474167e-05
"DS01","Bike Sharing Daily - Temperature","mc.lm",2,1e-05,0.468995615495432,1.99995735658734e-05
"DS01","Bike Sharing Daily - Temperature","mc.lm",3,1e-05,0.475824211720822,1.99995796855395e-05
"DS01","Bike Sharing Daily - Temperature","mc.lm",4,1e-05,0.489515647066237,1.99995914412223e-05
"DS01","Bike Sharing Daily - Temperature","mc.lm",5,1e-05,0.479580035462198,1.99995829771571e-05
"DS01","Bike Sharing Daily - Temperature","mc.lm",6,1e-05,0.482383705481079,1.9999585400892e-05
"DS01","Bike Sharing Daily - Temperature","mc.lm",7,1e-05,0.484023946633987,1.999958680584e-05
"DS01","Bike Sharing Daily - Temperature","mc.lm",8,1e-05,0.483427647650353,1.99995862961832e-05
"DS01","Bike Sharing Daily - Temperature","mc.lm",9,1e-05,0.482745685584239,1.99995857117669e-05
"DS01","Bike Sharing Daily - Temperature","mc.lm",10,1e-05,0.483900871397233,1.99995867007504e-05
"DS01","Bike Sharing Daily - Temperature","mc.lm",11,1e-05,0.486165652528849,1.99995886260471e-05
"DS01","Bike Sharing Daily - Temperature","mc.lm",12,1e-05,0.487998439605278,1.99995901710221e-05
"DS01","Bike Sharing Daily - Temperature","mc.lm",13,1e-05,0.486494412926107,1.99995889040373e-05
"DS01","Bike Sharing Daily - Temperature","mc.lm",14,1e-05,0.486362149095858,1.9999588792244e-05
"DS01","Bike Sharing Daily - Temperature","mc.lm",15,1e-05,0.486569150494555,1.99995889671808e-05
"DS01","Bike Sharing Daily - Temperature","mc.lm",16,1e-05,0.485103614668208,1.99995877254442e-05
"DS01","Bike Sharing Daily - Temperature","mc.lm",17,1e-05,0.485306216703917,1.9999587897554e-05
"DS01","Bike Sharing Daily - Temperature","mc.lm",18,1e-05,0.485438988721735,1.99995880102655e-05
"DS01","Bike Sharing Daily - Temperature","mc.lm",19,1e-05,0.480060299583763,1.99995833943483e-05
"DS01","Bike Sharing Daily - Temperature","mc.lm",20,1e-05,0.468296810074085,1.99995729295503e-05
"DS01","Bike Sharing Daily - Temperature","mc.lm",21,1e-05,0.461113853051776,1.99995662770454e-05
"DS01","Bike Sharing Daily - Temperature","mc.lm",22,1e-05,0.458993230302242,1.9999564273219e-05
"DS01","Bike Sharing Daily - Temperature","mc.lm",23,1e-05,0.444063961434115,1.9999549624573e-05
"DS01","Bike Sharing Daily - Temperature","mc.lm",24,1e-05,0.447010991852668,1.99995525937179e-05
"DS01","Bike Sharing Daily - Temperature","mc.lm",25,1e-05,0.460562175547801,1.99995657575281e-05
"DS01","Bike Sharing Daily - Temperature","mc.lm",26,1e-05,0.461567593362904,1.9999566703404e-05
"DS01","Bike Sharing Daily - Temperature","mc.lm",27,1e-05,0.4620849546117,1.99995671885226e-05
"DS01","Bike Sharing Daily - Temperature","mc.lm",28,1e-05,0.450917016932474,1.99995564692456e-05
"DS01","Bike Sharing Daily - Temperature","mc.lm",29,1e-05,0.448955254214882,1.9999554531229e-05
"DS01","Bike Sharing Daily - Temperature","mc.lm",30,1e-05,0.44882410452219,1.99995544010627e-05
"DS01","Bike Sharing Daily - Temperature","mc.lm",31,1e-05,0.450219487111057,1.9999555782094e-05
"DS01","Bike Sharing Daily - Temperature","mc.lm",32,1e-05,0.433384603977797,1.99995385267879e-05
"DS01","Bike Sharing Daily - Temperature","mc.lm",33,1e-05,0.432481985666674,1.99995375636853e-05
"DS01","Bike Sharing Daily - Temperature","mc.lm",34,1e-05,0.432229619627755,1.99995372936887e-05
"DS01","Bike Sharing Daily - Temperature","mc.lm",35,1e-05,0.432013680548761,1.99995370624135e-05
"DS01","Bike Sharing Daily - Temperature","mc.lm",36,1e-05,0.43490158497465,1.99995401364164e-05
"DS01","Bike Sharing Daily - Temperature","mc.lm",37,1e-05,0.434441580351448,1.99995396495052e-05
"DS01","Bike Sharing Daily - Temperature","mc.lm",38,1e-05,0.427334051338118,1.99995319930174e-05
"DS01","Bike Sharing Daily - Temperature","mc.lm",39,1e-05,0.427554524058589,1.99995322343442e-05
"DS01","Bike Sharing Daily - Temperature","mc.lm",40,1e-05,0.448463330334576,1.99995540426008e-05
"DS01","Bike Sharing Daily - Temperature","mc.lm",41,1e-05,0.449557383810247,1.99995551278691e-05
"DS01","Bike Sharing Daily - Temperature","mc.lm",42,1e-05,0.449803139116356,1.99995553709249e-05
"DS01","Bike Sharing Daily - Temperature","mc.lm",43,1e-05,0.440451917425399,1.99995459312324e-05
"DS01","Bike Sharing Daily - Temperature","mc.lm",44,1e-05,0.435967713938252,1.99995412609553e-05
"DS01","Bike Sharing Daily - Temperature","mc.lm",45,1e-05,0.453189108032676,1.99995586928649e-05
"DS01","Bike Sharing Daily - Temperature","mc.lm",46,1e-05,0.441754889748528,1.99995472704947e-05
"DS01","Bike Sharing Daily - Temperature","mc.lm",47,1e-05,0.446612575983215,1.99995521946029e-05
"DS01","Bike Sharing Daily - Temperature","mc.lm",48,1e-05,0.441590535888227,1.99995471019989e-05
"DS01","Bike Sharing Daily - Temperature","mc.lm",49,1e-05,0.441497893520914,1.99995470069665e-05
"DS01","Bike Sharing Daily - Temperature","mc.lm",50,1e-05,0.447628546845089,1.99995532109524e-05
"DS01","Bike Sharing Daily - Temperature","mc.lm_UNDERB",1,0.564239054949127,0.558571196477036,0.561390820259591
"DS01","Bike Sharing Daily - Temperature","mc.lm_UNDERB",2,0.597660453318271,0.563241574893486,0.579940781905731
"DS01","Bike Sharing Daily - Temperature","mc.lm_UNDERB",3,0.566887021211045,0.593259055077269,0.579773298230169
"DS01","Bike Sharing Daily - Temperature","mc.lm_UNDERB",4,0.567470151435657,0.600540721377009,0.583537263283247
"DS01","Bike Sharing Daily - Temperature","mc.lm_UNDERB",5,0.569630562397056,0.59215319061765,0.580673561876662
"DS01","Bike Sharing Daily - Temperature","mc.lm_UNDERB",6,0.650238057107724,0.599110056216297,0.623627882082134
"DS01","Bike Sharing Daily - Temperature","mc.lm_UNDERB",7,0.589930368235586,0.594728507622977,0.592319721148337
"DS01","Bike Sharing Daily - Temperature","mc.lm_UNDERB",8,0.58450848181096,0.566133943684758,0.575174501813224
"DS01","Bike Sharing Daily - Temperature","mc.lm_UNDERB",9,0.616177690064983,0.57249274534471,0.593532482843121
"DS01","Bike Sharing Daily - Temperature","mc.lm_UNDERB",10,0.532349303680235,0.594752211568593,0.561823263312571
"DS01","Bike Sharing Daily - Temperature","mc.lm_UNDERB",11,0.528615983160784,0.577601954485089,0.55202436094192
"DS01","Bike Sharing Daily - Temperature","mc.lm_UNDERB",12,0.511560270449295,0.600410008708269,0.552435460177877
"DS01","Bike Sharing Daily - Temperature","mc.lm_UNDERB",13,0.624379027591383,0.60077374563187,0.612348982589628
"DS01","Bike Sharing Daily - Temperature","mc.lm_UNDERB",14,0.506546339090297,0.541019458488526,0.523215680976558
"DS01","Bike Sharing Daily - Temperature","mc.lm_UNDERB",15,0.562179447760629,0.582275614781042,0.572051090997149
"DS01","Bike Sharing Daily - Temperature","mc.lm_UNDERB",16,0.56613359788887,0.583298742165948,0.574588001466379
"DS01","Bike Sharing Daily - Temperature","mc.lm_UNDERB",17,0.579609065549454,0.583439061615867,0.581517757364747
